RDM Export File,,,,,,,,,,,,,,,,,,,,
Project Name: BrooOm,,,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,,,
Operator: ,,,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,,,
Lateral Offset Reference: Distance From Lane Edge,,,,,,,,,,,,,,,,,,,,
Lateral Offset Reference Side: Right,,,,,,,,,,,,,,,,,,,,
Lateral Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,,,
Collection Direction: Decreasing Distance,,,,,,,,,,,,,,,,,,,,
Sensor Lateral Offsets (ft): Serial#3=-2;Serial#4=0;Serial#7=2;,,,,,,,,,,,,,,,,,,,,
Sensor Positions on metal rail(ft): Serial#3=2L;Serial#4=0;Serial#7=2R;,,,,,,,,,,,,,,,,,,,,
Lot: ,,,,,,,,,,,,,,,,,,,,
Sublot: ,,,,,,,,,,,,,,,,,,,,
File Name: Sample4,,,,,,,,,,,,,,,,,,,,
File Type: Time,,,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-09-20.14:33:40,,,,,,,,,,,,,,,,,,,,
File Comments: ,,,,,,,,,,,,,,,,,,,,
Moving Average Window Size (sec): 0.25,,,,,,,,,,,,,,,,,,,,
Output Interval (sec): 0.01,,,,,,,,,,,,,,,,,,,,
GPS Time Lag (sec): 0.00,,,,,,,,,,,,,,,,,,,,
Time (sec), Distance (ft), Station, Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality
3.03,0,0+0.00,0,0,0,-2,5.16,95.13,0,0,0,0,5.4,95.92,0,0,0,2,5.46,96.55
3.03,0,0+0.00,0,0,0,-2,5.21,95.07,0,0,0,0,5.44,95.88,0,0,0,2,5.55,96.66
2.94,0,0+0.00,0,0,0,-2,5.22,95,0,0,0,0,5.43,95.91,0,0,0,2,5.55,96.63
2.94,0,0+0.00,0,0,0,-2,5.17,95.01,0,0,0,0,5.47,95.9,0,0,0,2,5.44,96.67
2.94,0,0+0.00,0,0,0,-2,5.25,94.93,0,0,0,0,5.43,95.88,0,0,0,2,5.45,96.69
2.94,0,0+0.00,0,0,0,-2,5.14,94.93,0,0,0,0,5.42,95.88,0,0,0,2,5.54,96.69
2.94,0,0+0.00,0,0,0,-2,5.18,94.96,0,0,0,0,5.4,95.88,0,0,0,2,5.45,96.68
2.94,0,0+0.00,0,0,0,-2,5.14,94.93,0,0,0,0,5.49,95.91,0,0,0,2,5.4,96.69
2.83,0,0+0.00,0,0,0,-2,5.22,94.9,0,0,0,0,5.38,95.92,0,0,0,2,5.51,96.7
2.83,0,0+0.00,0,0,0,-2,5.19,94.9,0,0,0,0,5.47,95.94,0,0,0,2,5.56,96.69
2.83,0,0+0.00,0,0,0,-2,5.14,94.89,0,0,0,0,5.45,95.94,0,0,0,2,5.52,96.72
2.83,0,0+0.00,0,0,0,-2,5.16,94.89,0,0,0,0,5.46,95.93,0,0,0,2,5.55,96.72
2.83,0,0+0.00,0,0,0,-2,5.17,94.88,0,0,0,0,5.55,95.96,0,0,0,2,5.63,96.72
2.83,0,0+0.00,0,0,0,-2,5.23,94.88,0,0,0,0,5.59,96.01,0,0,0,2,5.57,96.65
2.73,0,0+0.00,0,0,0,-2,5.17,94.88,0,0,0,0,5.46,96.09,0,0,0,2,5.64,96.65
2.73,0,0+0.00,0,0,0,-2,5.13,94.91,0,0,0,0,5.49,96.08,0,0,0,2,5.67,96.83
2.73,0,0+0.00,0,0,0,-2,5.17,94.92,0,0,0,0,5.59,96.08,0,0,0,2,5.61,96.83
2.73,0,0+0.00,0,0,0,-2,5.2,94.93,0,0,0,0,5.5,96.07,0,0,0,2,5.55,96.84
2.73,0,0+0.00,0,0,0,-2,5.19,94.94,0,0,0,0,5.52,96.16,0,0,0,2,5.66,96.84
2.73,0,0+0.00,0,0,0,-2,5.15,94.93,0,0,0,0,5.51,96.17,0,0,0,2,5.56,96.84
2.73,0,0+0.00,0,0,0,-2,5.12,94.94,0,0,0,0,5.49,96.17,0,0,0,2,5.61,96.83
2.64,0,0+0.00,0,0,0,-2,5.19,94.95,0,0,0,0,5.51,96.21,0,0,0,2,5.6,96.84
2.64,0,0+0.00,0,0,0,-2,5.16,94.95,0,0,0,0,5.55,96.26,0,0,0,2,5.64,96.84
2.64,0,0+0.00,0,0,0,-2,5.16,94.95,0,0,0,0,5.43,96.3,0,0,0,2,5.61,96.81
2.64,0,0+0.00,0,0,0,-2,5.19,94.99,0,0,0,0,5.47,96.33,0,0,0,2,5.6,96.82
2.64,0,0+0.00,0,0,0,-2,5.13,94.99,0,0,0,0,5.55,96.35,0,0,0,2,5.67,96.95
